destination_id,name,type,description,rating,duration_minutes,latitude,longitude
1,The Science,historic,,2,60,48.856651306152344,2.351867914199829
1,Siege of Paris,battlefields,Le siège de Paris de 1360 est mis par les troupes anglaises d'Édouard III d'Angleterre lors de sa chevauchée de 1359-1360.,2,60,48.85660171508789,2.351830005645752
1,bataille de Lutèce,battlefields,"La bataille de Lutèce de 383 opposa les forces du général Magnus Maximus proclamé empereur par ses troupes de (Grande) Bretagne aux forces de l'empereur Gratien.Au printemps 383, le général romain Magnus Maximus proclamé empereur par les légions de la Grande-Bretagne, débarque en Gaule Belgique, en baie de Somme, et soulève tout le nord de la Gaule.Gratien pour s'opposer à la marche des rebelles rassembla ses troupes autour de Lutèce où il fut bientôt rejoint par l'usurpateur, débarqué en baie de Somme, et déjà maître d'une partie de l'actuelle Picardie.",2,60,48.85660171508789,2.351830005645752
1,Siege of Paris,battlefields,"La prise de Paris en 1420 marque le début de la présence anglaise à Paris lors de guerre de Cent Ans. À la faveur d'une alliance avec le parti bourguignon au sein de la ville et du traité de Troyes, les Anglais font leur entrée à Paris et constituent un gouvernement commun avec les Bourguignons.",2,60,48.85660171508789,2.351830005645752
1,Siege of Paris,battlefields,"The siege of Paris was an assault undertaken in September 1429 during the Hundred Years' War by the troops of the recently crowned King Charles VII of France, with the notable presence of Joan of Arc, to take the city held by the English and the Burgundians. King Charles's French troops failed to enter Paris, defended by the governor Jean de Villiers de L'Isle-Adam and the provost Simon Morhier, with the support of much of the city's population.",3,60,48.85660171508789,2.351830005645752
1,Siege of Paris,battlefields,"Le siège de Paris de 1435-1436 est effectué par les troupes françaises de Charles VII sous les ordres du maréchal Ambroise de Loré au cours de la dernière phase de la guerre de Cent Ans. Au bout d'un an de siège, les Français parviennent à reprendre leur capitale et à en chasser l'occupant anglais.Ayant échoué par la force en 1429 et en complotant en 1430 sans succès, Charles VII cherche à nouveau à reprendre la capitale française par la force.",2,60,48.85660171508789,2.351830005645752
1,Battle of Montmartre,battlefields,"The Battle of Paris was fought on March 30–31, 1814 between the Sixth Coalition, consisting of Russia, Austria, and Prussia, against the French Empire. After a day of fighting in the suburbs of Paris, the French surrendered on March 31, ending the War of the Sixth Coalition and forcing Emperor Napoleon to abdicate and go into exile.",2,60,48.85660171508789,2.351799964904785
1,The Art,historic,,2,60,48.856536865234375,2.3518054485321045
1,Paris Town Hall,architecture,"The Hôtel de Ville (French pronunciation: [otɛl də vil], City Hall) in Paris, France, is the building housing the city's local administration, standing on the Place de l'Hôtel-de-Ville – Esplanade de la Libération in the 4th arrondissement. The south wing was originally constructed by François I beginning in 1535 until 1551. The north wing was built by Henry IV and Louis XIII between 1605 and 1628.It was burned by the Paris Commune, along with all the city archives that it contained, during the Commune's final days in May 1871. The outside was rebuilt following the original design, but larger, between 1874 and 1882, while the inside was considerably modified. It has been the headquarters of the municipality of Paris since 1357. It serves multiple functions, housing the local government council, since 1977 the Mayor of Paris and her cabinet, and also serves as a venue for large receptions.",3h,60,48.85642623901367,2.352527618408203
1,Fountain,historic,,1,60,48.85692596435547,2.351869821548462
2,Nymph of the Rivers,cultural,,1,60,41.902767181396484,12.49634075164795
2,Fountain of the Naiads,fountains,"The Fountain of the Naiads (Italian: Fontana delle Naiadi) is a fountain in Rome, Italy, located at the centre of the Piazza della Repubblica on the Viminal Hill. The fountain was created by the architect Alessandro Guerrieri in 1888. Its four bronze sculptures of naiads created by Mario Rutelli were added in 1901 and Rutelli's central sculpture of the god Glaucus was added in 1912.",3,60,41.902713775634766,12.496246337890625
2,Glauco,cultural,,1,60,41.9026985168457,12.496244430541992
2,Nymph of the Lakes,cultural,,1,60,41.902626037597656,12.496332168579102
2,Nymph of the Underground Waters,cultural,,1,60,41.90277099609375,12.496158599853516
2,Nymph of the Oceans,cultural,,1,60,41.90263748168945,12.496147155761719
2,Fountain,fountains,,1,60,41.90232467651367,12.4970064163208
2,The Space-Moderno,cultural,,1,60,41.90207290649414,12.496424674987793
2,aula ottagonale delle Terme di Diocleziano (ex Planetario),other,,1h,60,41.903594970703125,12.495973587036133
2,Basilica di Santa Maria degli Angeli e dei Martiri,religion,"The Basilica of St. Mary of the Angels and of the Martyrs (Latin: Beatissimae Virginis et omnium Angelorum et Martyrum, Italian: Santa Maria degli Angeli e dei Martiri) is a basilica and titular church in Rome, Italy, built inside the ruined frigidarium of the Roman Baths of Diocletian in the Piazza della Repubblica.It was constructed in the 16th century following an original design by Michelangelo Buonarroti. Other architects and artists added to the church over the following centuries. During the Kingdom of Italy, the church was used for religious state functions.",3h,60,41.90342330932617,12.497330665588379
3,Brunnen (Hauptbahnhof (Südostseite)),historic,,2,60,47.37723159790039,8.540912628173828
3,bei Du Pont,historic,,2,60,47.37618637084961,8.54159164428711
3,Langer Steg,architecture,"Der Lange Steg war eine 1662 errichtete offene Holzbrücke für Fussgänger, welche in Zürich die Landzunge zwischen der Sihl und der Limmat mit dem Stadtteil rechts des Limmat verband. Auf der Landzunge wurde 1847 der erste Bahnhof Zürichs errichtet. Der Steg wurde nach der Eröffnung der Bahnhofbrücke 1864 abgetragen.",3,60,47.37744903564453,8.542637825012207
3,"Cinema ABC 1, 2, 3, 4",cinemas,,1,60,47.376216888427734,8.540882110595703
3,Meilenstein Berlin/Zürich,historic,,1,60,47.37665557861328,8.543209075927734
3,"Zürich Hauptbahnhof, Bahnhof mit Bahnhofhalle",historic_architecture,,1h,60,47.3773307800293,8.540079116821289
3,Züri-Brunnen,fountains,,2,60,47.377174377441406,8.539987564086914
3,Alfred-Escher-Brunnen,fountains,,2,60,47.37712097167969,8.539960861206055
3,Alfred Escher-Statue,fountains,"Der Bahnhofplatz ist ein Platz am Rande der Altstadt von Zürich südlich vom Hauptbahnhof. Er bildet den nördlichen Abschluss der Bahnhofstrasse und wird gestalterisch vom Alfred-Escher-Brunnen dominiert. Auf dem Platz befindet sich eine Tramhaltestelle, darunter ein Teil der Einkaufspassage Shopville und des Tiefbahnhofs der Sihltal-Zürich-Uetliberg-Bahn (SZU).",3,60,47.37712860107422,8.539955139160156
3,"Zürich Hauptbahnhof, Alfred Escher-Brunnen",historic_architecture,,1h,60,47.37713623046875,8.539942741394043
